Bk#,Book,Ch#,Chapter,Word Count,Bk-Ch#
0,NS,1,1,5678,0-1
0,NS,2,2,4954,0-2
0,NS,3,3,8714,0-3
0,NS,4,4,6076,0-4
0,NS,5,5,7963,0-5
0,NS,6,6,5469,0-6
0,NS,7,7,3309,0-7
0,NS,8,8,4267,0-8
0,NS,9,9,4877,0-9
0,NS,10,10,2572,0-10
0,NS,11,11,3302,0-11
0,NS,12,12,5449,0-12
0,NS,13,13,3738,0-13
0,NS,14,14,6550,0-14
0,NS,15,15,2805,0-15
0,NS,16,16,4304,0-16
0,NS,17,17,5129,0-17
0,NS,18,18,3745,0-18
0,NS,19,19,3730,0-19
0,NS,20,20,2898,0-20
0,NS,21,21,4319,0-21
0,NS,22,22,5120,0-22
0,NS,23,23,3517,0-23
0,NS,24,24,2906,0-24
0,NS,25,25,4509,0-25
0,NS,26,26,4004,0-26
0,NS,27,Epilogue,2038,0-27
1,TEotW,0,Prologue_Ravens,10045,1-0
1,TEotW,0.50,Prologue_Dragonmount,2617,1-0.5
1,TEotW,1,1,7165,1-1
1,TEotW,2,2,4964,1-2
1,TEotW,3,3,5257,1-3
1,TEotW,4,4,5968,1-4
1,TEotW,5,5,7123,1-5
1,TEotW,6,6,3413,1-6
1,TEotW,7,7,5686,1-7
1,TEotW,8,8,5937,1-8
1,TEotW,9,9,6933,1-9
1,TEotW,10,10,4049,1-10
1,TEotW,11,11,3573,1-11
1,TEotW,12,12,5265,1-12
1,TEotW,13,13,7308,1-13
1,TEotW,14,14,5894,1-14
1,TEotW,15,15,9065,1-15
1,TEotW,16,16,4250,1-16
1,TEotW,17,17,6566,1-17
1,TEotW,18,18,5534,1-18
1,TEotW,19,19,7096,1-19
1,TEotW,20,20,7632,1-20
1,TEotW,21,21,5131,1-21
1,TEotW,22,22,2187,1-22
1,TEotW,23,23,5823,1-23
1,TEotW,24,24,5339,1-24
1,TEotW,25,25,6146,1-25
1,TEotW,26,26,8980,1-26
1,TEotW,27,27,4923,1-27
1,TEotW,28,28,3166,1-28
1,TEotW,29,29,6187,1-29
1,TEotW,30,30,6410,1-30
1,TEotW,31,31,4548,1-31
1,TEotW,32,32,7981,1-32
1,TEotW,33,33,10417,1-33
1,TEotW,34,34,5934,1-34
1,TEotW,35,35,5354,1-35
1,TEotW,36,36,5730,1-36
1,TEotW,37,37,3241,1-37
1,TEotW,38,38,5935,1-38
1,TEotW,39,39,4477,1-39
1,TEotW,40,40,9551,1-40
1,TEotW,41,41,5818,1-41
1,TEotW,42,42,4723,1-42
1,TEotW,43,43,4905,1-43
1,TEotW,44,44,5319,1-44
1,TEotW,45,45,5568,1-45
1,TEotW,46,46,6752,1-46
1,TEotW,47,47,5176,1-47
1,TEotW,48,48,4589,1-48
1,TEotW,49,49,3485,1-49
1,TEotW,50,50,4548,1-50
1,TEotW,51,51,3515,1-51
1,TEotW,52,52,3885,1-52
1,TEotW,53,53,3343,1-53
2,TGH,0,Prologue,5524,2-0
2,TGH,1,1,4206,2-1
2,TGH,2,2,4553,2-2
2,TGH,3,3,8437,2-3
